surface,section,page_or_feature,route_or_url,primary_job,evidence,decision,notes
public,discovery,Home,/,start or discover a creation,observed,keep,"1440x900 baseline composer draft states asset library model tabs Skill scopes and generation mode"
public,discovery,Skill market,TBD,find an agent capability,observed,keep,"Categories search favorite lifecycle mine"
public,discovery,Skill detail,TBD,understand and use a skill,observed,keep,"Author four examples lightbox source and full 13-section spec"
public,showcase,TV Show catalog,TBD,find public work,observed,keep,"Categories search cards metadata"
public,showcase,Work detail,/detail/:id,watch and inspect a work,observed,keep,"Author AI label updated time actions"
public,showcase,Public production process,/detail/:id overlay,inspect how a work was made,observed,keep,"Readonly workflow and storyboard projections"
auth,onboarding,Acquisition survey,TBD,complete first-login setup,partial,verify,"Only step one observed"
auth,workspace,Workspace switcher,TBD,choose personal or team scope,official,verify,"CLI confirms scope; Web route unknown"
auth,project,Project workspace,/project,organize a creation,partial,keep,"1440x900 list actions inline rename empty move submenu and delete confirmation; cover uses native file picker"
auth,canvas,Workflow view,TBD,edit dependency graph,observed,keep,"Nodes groups edges zoom map; 1440x900 full viewport baseline"
auth,canvas,Storyboard view,TBD,review media and narrative outputs,partial,keep,"Authenticated populated columns filters exclusive expansion and Agent co-layout captured at 1440x900"
auth,canvas,Add node,TBD,add a media or orchestration unit,observed,keep,"Text image video composition director audio script asset"
auth,canvas,Toolbox,TBD,instantiate a preset,partial,verify,"Preset catalog and one grouped-node instance with dependency edges observed; authoring and version semantics unknown"
auth,canvas,Character library,TBD,reuse character references,partial,verify,"Full detail taxonomy and apply-to-canvas mapping to four image nodes observed; create and edit semantics unknown"
auth,assets,Generated history,TBD,find previous generated media,observed,keep,"Not workflow version history; 1440x900 image video audio empty-state baseline"
auth,assets,Shared asset library,/asset,find assets across creation surfaces,partial,keep,"Lib generator LibTV ComfyUI WebUI AI app sources; empty state observed"
auth,agent,Agent session,TBD,plan and execute creation,partial,verify,"Three sessions; ask_human and quota gate observed; 1440x900 panel and history baselines; paid continuation pending"
auth,agent,Agent settings,TBD,control automation and notifications,observed,keep,"Manual/auto spend notice portrait compliance; 1440x900 modal baseline"
auth,account,Account menu,TBD,manage identity and scope,observed,keep,"Expanded login-state menu theme notifications watermark and cross-domain entries"
auth,account,Personal center,/userpage/:userId/:collection,manage published and liked content,partial,keep,"Publish like content types filters and profile edit form observed"
auth,billing,Points ledger,/calculation,inspect balances acquisition consumption and return,partial,keep,"Expiry batches filters totals download and pagination observed; task ID redacted in screenshot"
auth,billing,Subscription and purchases,/transaction,manage plans orders and invoices,partial,keep,"Empty subscription and purchase schemas observed; payment and invoice forms unknown"
auth,billing,Membership and recharge,TBD,manage entitlement and spend,partial,verify,"Personal/team plans model packs general recharge consumption rules and FAQ observed"
auth,credentials,Access Key and CLI,TBD,automate external workflows,official,keep,"Never archive plaintext credentials"
system,execution,Generation job,TBD,run and recover long tasks,partial,design,"CLI confirms run/poll; Task status and cancel are target design"
